ID,SensorType,Temperature,Status
40,Thermo-Acoustic,200.00,Outlier
41,Thermocouple,25.52,Outlier
41,RTD,-27.00,Outlier
41,Thermo-Optical,504.27,Outlier
41,Thermo-Acoustic,150.00,Outlier
42,Thermocouple,25.70,Outlier
42,RTD,-47.00,Outlier
42,Thermo-Optical,414.06,Outlier
42,Thermo-Acoustic,250.00,Outlier
43,Thermocouple,25.56,Outlier
43,RTD,-41.00,Outlier
43,Thermo-Optical,572.96,Outlier
43,Thermo-Acoustic,75.00,Outlier
44,Thermocouple,25.56,Outlier
44,RTD,-21.00,Outlier
44,Thermo-Optical,504.27,Outlier
44,Thermo-Acoustic,75.00,Outlier
45,Thermocouple,25.55,Outlier
45,RTD,-32.00,Outlier
45,Thermo-Optical,391.59,Outlier
45,Thermo-Acoustic,150.00,Outlier
46,Thermocouple,25.69,Outlier
46,RTD,-31.00,Outlier
46,Thermo-Optical,547.93,Outlier
46,Thermo-Acoustic,200.00,Outlier
47,Thermocouple,25.69,Outlier
47,RTD,26.00,Outlier
47,Thermo-Optical,580.62,Outlier
47,Thermo-Acoustic,125.00,Outlier
48,Thermocouple,25.59,Outlier
48,RTD,33.00,Outlier
48,Thermo-Optical,515.36,Outlier
48,Thermo-Acoustic,100.00,Outlier
49,Thermocouple,25.56,Outlier
49,RTD,-26.00,Outlier
49,Thermo-Optical,535.61,Outlier
49,Thermo-Acoustic,125.00,Outlier
50,Thermocouple,25.57,Outlier
50,RTD,16.00,Outlier
50,Thermo-Optical,488.24,Outlier
50,Thermo-Acoustic,200.00,Outlier
51,Thermocouple,25.60,Outlier
51,RTD,-27.00,Outlier
51,Thermo-Optical,575.55,Outlier
51,Thermo-Acoustic,225.00,Outlier
52,Thermocouple,25.63,Outlier
52,RTD,-9.00,Outlier
52,Thermo-Optical,567.68,Outlier
52,Thermo-Acoustic,200.00,Valid
53,Thermocouple,25.60,Outlier
53,RTD,15.00,Outlier
53,Thermo-Optical,564.99,Outlier
53,Thermo-Acoustic,125.00,Outlier
54,Thermocouple,25.71,Outlier
54,RTD,27.00,Outlier
54,Thermo-Optical,496.45,Outlier
54,Thermo-Acoustic,200.00,Outlier
55,Thermocouple,25.65,Outlier
55,RTD,-49.00,Outlier
55,Thermo-Optical,455.66,Outlier
55,Thermo-Acoustic,200.00,Outlier
56,Thermocouple,25.68,Outlier
56,RTD,-23.00,Outlier
56,Thermo-Optical,504.27,Outlier
56,Thermo-Acoustic,50.00,Outlier
57,Thermocouple,25.53,Outlier
57,RTD,-2.00,Outlier
57,Thermo-Optical,444.93,Outlier
57,Thermo-Acoustic,25.00,Outlier
58,Thermocouple,25.70,Outlier
58,RTD,-2.00,Outlier
58,Thermo-Optical,535.61,Outlier
58,Thermo-Acoustic,125.00,Outlier
59,Thermocouple,25.53,Outlier
59,RTD,-21.00,Outlier
59,Thermo-Optical,538.77,Outlier
59,Thermo-Acoustic,225.00,Outlier
60,Thermocouple,25.62,Outlier
60,RTD,1.00,Outlier
60,Thermo-Optical,420.79,Outlier
60,Thermo-Acoustic,125.00,Outlier
61,Thermocouple,25.66,Outlier
61,RTD,38.00,Outlier
61,Thermo-Optical,374.14,Outlier
61,Thermo-Acoustic,225.00,Outlier
62,Thermocouple,25.68,Outlier
62,RTD,-44.00,Outlier
62,Thermo-Optical,439.26,Outlier
62,Thermo-Acoustic,225.00,Outlier
63,Thermocouple,25.50,Outlier
63,RTD,-3.00,Outlier
63,Thermo-Optical,470.46,Outlier
63,Thermo-Acoustic,25.00,Outlier
64,Thermocouple,25.67,Outlier
64,RTD,43.00,Outlier
64,Thermo-Optical,483.98,Outlier
64,Thermo-Acoustic,25.00,Outlier
65,Thermocouple,25.54,Outlier
65,RTD,-8.00,Outlier
65,Thermo-Optical,460.75,Outlier
65,Thermo-Acoustic,25.00,Outlier
66,Thermocouple,25.58,Outlier
66,RTD,45.00,Outlier
66,Thermo-Optical,479.60,Outlier
66,Thermo-Acoustic,100.00,Outlier
67,Thermocouple,25.62,Outlier
67,RTD,-33.00,Outlier
67,Thermo-Optical,550.88,Outlier
67,Thermo-Acoustic,150.00,Outlier
68,Thermocouple,25.52,Outlier
68,RTD,-11.00,Outlier
68,Thermo-Optical,547.93,Outlier
68,Thermo-Acoustic,125.00,Outlier
69,Thermocouple,25.53,Outlier
69,RTD,-14.00,Outlier
69,Thermo-Optical,492.40,Outlier
69,Thermo-Acoustic,250.00,Outlier
70,Thermocouple,25.50,Outlier
70,RTD,30.00,Outlier
70,Thermo-Optical,525.78,Outlier
70,Thermo-Acoustic,100.00,Outlier
71,Thermocouple,25.58,Outlier
71,RTD,0.00,Outlier
71,Thermo-Optical,572.96,Outlier
71,Thermo-Acoustic,250.00,Outlier
72,Thermocouple,25.56,Outlier
72,RTD,-13.00,Outlier
72,Thermo-Optical,433.37,Outlier
72,Thermo-Acoustic,200.00,Outlier
73,Thermocouple,25.68,Outlier
73,RTD,9.00,Outlier
73,Thermo-Optical,532.39,Outlier
73,Thermo-Acoustic,100.00,Outlier
74,Thermocouple,25.61,Outlier
74,RTD,19.00,Outlier
74,Thermo-Optical,450.39,Outlier
74,Thermo-Acoustic,75.00,Outlier
75,Thermocouple,25.62,Outlier
75,RTD,23.00,Outlier
75,Thermo-Optical,578.10,Outlier
75,Thermo-Acoustic,175.00,Outlier
76,Thermocouple,25.52,Outlier
76,RTD,-50.00,Outlier
76,Thermo-Optical,575.55,Outlier
76,Thermo-Acoustic,75.00,Outlier
77,Thermocouple,25.70,Outlier
77,RTD,14.00,Outlier
77,Thermo-Optical,525.78,Outlier
77,Thermo-Acoustic,175.00,Outlier
78,Thermocouple,25.67,Outlier
78,RTD,3.00,Outlier
78,Thermo-Optical,541.88,Outlier
78,Thermo-Acoustic,250.00,Outlier
79,Thermocouple,25.52,Outlier
79,RTD,36.00,Outlier
79,Thermo-Optical,553.79,Outlier
79,Thermo-Acoustic,200.00,Valid
80,Thermocouple,25.53,Outlier
80,RTD,16.00,Outlier
80,Thermo-Optical,567.68,Outlier
80,Thermo-Acoustic,75.00,Outlier
81,Thermocouple,25.66,Outlier
81,RTD,6.00,Outlier
81,Thermo-Optical,427.22,Outlier
81,Thermo-Acoustic,200.00,Outlier
82,Thermocouple,25.72,Outlier
82,RTD,5.00,Outlier
82,Thermo-Optical,496.45,Outlier
82,Thermo-Acoustic,175.00,Valid
83,Thermocouple,25.55,Outlier
83,RTD,-24.00,Outlier
83,Thermo-Optical,420.79,Outlier
83,Thermo-Acoustic,50.00,Outlier
84,Thermocouple,25.65,Outlier
84,RTD,5.00,Outlier
84,Thermo-Optical,518.90,Outlier
84,Thermo-Acoustic,150.00,Outlier
85,Thermocouple,25.73,Outlier
85,RTD,-23.00,Outlier
85,Thermo-Optical,492.40,Outlier
85,Thermo-Acoustic,225.00,Outlier
86,Thermocouple,25.65,Outlier
86,RTD,20.00,Outlier
86,Thermo-Optical,553.79,Outlier
86,Thermo-Acoustic,125.00,Outlier
87,Thermocouple,25.58,Outlier
87,RTD,49.00,Outlier
87,Thermo-Optical,538.77,Outlier
87,Thermo-Acoustic,150.00,Outlier
88,Thermocouple,25.68,Outlier
88,RTD,23.00,Outlier
88,Thermo-Optical,475.09,Outlier
88,Thermo-Acoustic,50.00,Outlier
89,Thermocouple,25.67,Outlier
89,RTD,37.00,Outlier
89,Thermo-Optical,567.68,Outlier
89,Thermo-Acoustic,250.00,Outlier
90,Thermocouple,25.53,Outlier
90,RTD,-29.00,Outlier
90,Thermo-Optical,522.37,Outlier
90,Thermo-Acoustic,225.00,Outlier
91,Thermocouple,25.69,Outlier
91,RTD,-46.00,Outlier
91,Thermo-Optical,483.98,Outlier
91,Thermo-Acoustic,75.00,Outlier
92,Thermocouple,25.56,Outlier
92,RTD,-46.00,Outlier
92,Thermo-Optical,433.37,Outlier
92,Thermo-Acoustic,150.00,Outlier
93,Thermocouple,25.68,Outlier
93,RTD,-30.00,Outlier
93,Thermo-Optical,547.93,Outlier
93,Thermo-Acoustic,150.00,Outlier
94,Thermocouple,25.53,Outlier
94,RTD,-24.00,Outlier
94,Thermo-Optical,433.37,Outlier
94,Thermo-Acoustic,75.00,Outlier
95,Thermocouple,25.60,Outlier
95,RTD,-14.00,Outlier
95,Thermo-Optical,460.75,Outlier
95,Thermo-Acoustic,75.00,Outlier
96,Thermocouple,25.69,Outlier
96,RTD,24.00,Outlier
96,Thermo-Optical,450.39,Outlier
96,Thermo-Acoustic,50.00,Outlier
97,Thermocouple,25.62,Outlier
97,RTD,-34.00,Outlier
97,Thermo-Optical,444.93,Outlier
97,Thermo-Acoustic,75.00,Outlier
98,Thermocouple,25.64,Outlier
98,RTD,41.00,Outlier
98,Thermo-Optical,504.27,Outlier
98,Thermo-Acoustic,75.00,Outlier
99,Thermocouple,25.54,Outlier
99,RTD,25.00,Outlier
99,Thermo-Optical,518.90,Outlier
99,Thermo-Acoustic,50.00,Outlier
100,Thermocouple,25.67,Outlier
100,RTD,25.00,Outlier
100,Thermo-Optical,508.05,Outlier
100,Thermo-Acoustic,175.00,Outlier
101,Thermocouple,25.72,Outlier
101,RTD,-14.00,Outlier
101,Thermo-Optical,535.61,Outlier
101,Thermo-Acoustic,225.00,Outlier
102,Thermocouple,25.56,Outlier
102,RTD,-11.00,Outlier
102,Thermo-Optical,496.45,Outlier
102,Thermo-Acoustic,50.00,Outlier
103,Thermocouple,25.66,Outlier
103,RTD,-32.00,Outlier
103,Thermo-Optical,475.09,Outlier
103,Thermo-Acoustic,25.00,Outlier
104,Thermocouple,25.53,Outlier
104,RTD,19.00,Outlier
104,Thermo-Optical,479.60,Outlier
104,Thermo-Acoustic,250.00,Outlier
105,Thermocouple,25.62,Outlier
105,RTD,23.00,Outlier
105,Thermo-Optical,518.90,Outlier
105,Thermo-Acoustic,225.00,Outlier
106,Thermocouple,25.68,Outlier
106,RTD,-10.00,Outlier
106,Thermo-Optical,544.93,Outlier
106,Thermo-Acoustic,125.00,Outlier
107,Thermocouple,25.58,Outlier
107,RTD,24.00,Outlier
107,Thermo-Optical,538.77,Outlier
107,Thermo-Acoustic,225.00,Outlier
108,Thermocouple,25.51,Outlier
108,RTD,26.00,Outlier
108,Thermo-Optical,553.79,Outlier
108,Thermo-Acoustic,75.00,Outlier
109,Thermocouple,25.63,Outlier
109,RTD,-7.00,Outlier
109,Thermo-Optical,483.98,Outlier
109,Thermo-Acoustic,225.00,Outlier
110,Thermocouple,25.52,Outlier
110,RTD,-7.00,Outlier
110,Thermo-Optical,564.99,Outlier
110,Thermo-Acoustic,100.00,Outlier
111,Thermocouple,25.53,Outlier
111,RTD,-21.00,Outlier
111,Thermo-Optical,399.51,Outlier
111,Thermo-Acoustic,225.00,Outlier
112,Thermocouple,25.55,Outlier
112,RTD,-40.00,Outlier
112,Thermo-Optical,541.88,Outlier
112,Thermo-Acoustic,75.00,Outlier
113,Thermocouple,25.67,Outlier
113,RTD,42.00,Outlier
113,Thermo-Optical,532.39,Outlier
113,Thermo-Acoustic,225.00,Outlier
114,Thermocouple,25.65,Outlier
114,RTD,-16.00,Outlier
114,Thermo-Optical,483.98,Outlier
114,Thermo-Acoustic,150.00,Outlier
115,Thermocouple,25.72,Outlier
115,RTD,-43.00,Outlier
115,Thermo-Optical,515.36,Outlier
115,Thermo-Acoustic,25.00,Outlier
116,Thermocouple,25.68,Outlier
116,RTD,21.00,Outlier
116,Thermo-Optical,488.24,Outlier
116,Thermo-Acoustic,100.00,Outlier
117,Thermocouple,25.70,Outlier
117,RTD,27.00,Outlier
117,Thermo-Optical,460.75,Outlier
117,Thermo-Acoustic,100.00,Outlier
118,Thermocouple,25.59,Outlier
118,RTD,46.00,Outlier
118,Thermo-Optical,535.61,Outlier
118,Thermo-Acoustic,125.00,Outlier
119,Thermocouple,25.70,Outlier
119,RTD,-21.00,Outlier
119,Thermo-Optical,575.55,Outlier
119,Thermo-Acoustic,75.00,Outlier
120,Thermocouple,25.50,Outlier
120,RTD,22.00,Outlier
120,Thermo-Optical,470.46,Outlier
120,Thermo-Acoustic,100.00,Outlier
121,Thermocouple,25.54,Outlier
121,RTD,-39.00,Outlier
121,Thermo-Optical,399.51,Outlier
121,Thermo-Acoustic,150.00,Outlier
122,Thermocouple,25.60,Outlier
122,RTD,1.00,Outlier
122,Thermo-Optical,470.46,Outlier
122,Thermo-Acoustic,125.00,Outlier
123,Thermocouple,25.51,Outlier
123,RTD,-2.00,Outlier
123,Thermo-Optical,556.65,Outlier
123,Thermo-Acoustic,175.00,Outlier
124,Thermocouple,25.71,Outlier
124,RTD,25.00,Outlier
124,Thermo-Optical,427.22,Outlier
124,Thermo-Acoustic,50.00,Outlier
125,Thermocouple,25.63,Outlier
125,RTD,-40.00,Outlier
125,Thermo-Optical,433.37,Outlier
125,Thermo-Acoustic,75.00,Outlier
126,Thermocouple,25.71,Outlier
126,RTD,-10.00,Outlier
126,Thermo-Optical,547.93,Outlier
126,Thermo-Acoustic,225.00,Outlier
127,Thermocouple,25.72,Outlier
127,RTD,-41.00,Outlier
127,Thermo-Optical,496.45,Outlier
127,Thermo-Acoustic,200.00,Outlier
128,Thermocouple,25.69,Outlier
128,RTD,30.00,Outlier
128,Thermo-Optical,504.27,Outlier
128,Thermo-Acoustic,25.00,Outlier
129,Thermocouple,25.55,Outlier
129,RTD,-14.00,Outlier
129,Thermo-Optical,465.68,Outlier
129,Thermo-Acoustic,50.00,Outlier
130,Thermocouple,25.63,Outlier
130,RTD,46.00,Outlier
130,Thermo-Optical,578.10,Outlier
130,Thermo-Acoustic,75.00,Outlier
131,Thermocouple,25.54,Outlier
131,RTD,28.00,Outlier
131,Thermo-Optical,575.55,Outlier
131,Thermo-Acoustic,125.00,Outlier
132,Thermocouple,25.56,Outlier
132,RTD,-25.00,Outlier
132,Thermo-Optical,479.60,Outlier
132,Thermo-Acoustic,75.00,Outlier
133,Thermocouple,25.56,Outlier
133,RTD,-1.00,Outlier
133,Thermo-Optical,391.59,Outlier
133,Thermo-Acoustic,100.00,Outlier
134,Thermocouple,25.62,Outlier
134,RTD,-14.00,Outlier
134,Thermo-Optical,572.96,Outlier
134,Thermo-Acoustic,250.00,Outlier
135,Thermocouple,25.61,Outlier
135,RTD,-47.00,Outlier
135,Thermo-Optical,465.68,Outlier
135,Thermo-Acoustic,175.00,Outlier
136,Thermocouple,25.56,Outlier
136,RTD,-36.00,Outlier
136,Thermo-Optical,572.96,Outlier
136,Thermo-Acoustic,150.00,Outlier
137,Thermocouple,25.67,Outlier
137,RTD,-7.00,Outlier
137,Thermo-Optical,427.22,Outlier
137,Thermo-Acoustic,75.00,Outlier
138,Thermocouple,25.68,Outlier
138,RTD,6.00,Outlier
138,Thermo-Optical,550.88,Outlier
138,Thermo-Acoustic,75.00,Outlier
139,Thermocouple,25.60,Outlier
139,RTD,-5.00,Outlier
139,Thermo-Optical,559.47,Outlier
139,Thermo-Acoustic,25.00,Outlier
140,Thermocouple,25.53,Outlier
140,RTD,-5.00,Outlier
140,Thermo-Optical,439.26,Outlier
140,Thermo-Acoustic,75.00,Outlier
141,Thermocouple,25.61,Outlier
141,RTD,-43.00,Outlier
141,Thermo-Optical,391.59,Outlier
141,Thermo-Acoustic,150.00,Outlier
142,Thermocouple,25.71,Outlier
142,RTD,-19.00,Outlier
142,Thermo-Optical,399.51,Outlier
142,Thermo-Acoustic,200.00,Outlier
143,Thermocouple,25.68,Outlier
143,RTD,-9.00,Outlier
143,Thermo-Optical,525.78,Outlier
143,Thermo-Acoustic,200.00,Outlier
144,Thermocouple,25.66,Outlier
144,RTD,24.00,Outlier
144,Thermo-Optical,508.05,Outlier
144,Thermo-Acoustic,50.00,Outlier
145,Thermocouple,25.70,Outlier
145,RTD,32.00,Outlier
145,Thermo-Optical,492.40,Outlier
145,Thermo-Acoustic,150.00,Outlier
146,Thermocouple,25.53,Outlier
146,RTD,-9.00,Outlier
146,Thermo-Optical,406.98,Outlier
146,Thermo-Acoustic,175.00,Outlier
147,Thermocouple,25.71,Outlier
147,RTD,14.00,Outlier
147,Thermo-Optical,570.34,Outlier
147,Thermo-Acoustic,75.00,Outlier
148,Thermocouple,25.63,Outlier
148,RTD,-39.00,Outlier
148,Thermo-Optical,572.96,Outlier
148,Thermo-Acoustic,50.00,Outlier
149,Thermocouple,25.72,Outlier
149,RTD,14.00,Outlier
149,Thermo-Optical,504.27,Outlier
149,Thermo-Acoustic,50.00,Outlier
150,Thermocouple,25.65,Outlier
150,RTD,-19.00,Outlier
150,Thermo-Optical,578.10,Outlier
150,Thermo-Acoustic,150.00,Outlier
151,Thermocouple,25.71,Outlier
151,RTD,10.00,Outlier
151,Thermo-Optical,496.45,Outlier
151,Thermo-Acoustic,50.00,Outlier
152,Thermocouple,25.72,Outlier
152,RTD,30.00,Outlier
152,Thermo-Optical,522.37,Outlier
152,Thermo-Acoustic,200.00,Outlier
153,Thermocouple,25.59,Outlier
153,RTD,-50.00,Outlier
153,Thermo-Optical,444.93,Outlier
153,Thermo-Acoustic,100.00,Outlier
154,Thermocouple,25.62,Outlier
154,RTD,-5.00,Outlier
154,Thermo-Optical,488.24,Outlier
154,Thermo-Acoustic,225.00,Outlier
155,Thermocouple,25.60,Outlier
155,RTD,-21.00,Outlier
155,Thermo-Optical,479.60,Outlier
155,Thermo-Acoustic,150.00,Outlier
156,Thermocouple,25.51,Outlier
156,RTD,0.00,Outlier
156,Thermo-Optical,455.66,Outlier
156,Thermo-Acoustic,125.00,Outlier
157,Thermocouple,25.67,Outlier
157,RTD,-42.00,Outlier
157,Thermo-Optical,541.88,Outlier
157,Thermo-Acoustic,150.00,Outlier
158,Thermocouple,25.64,Outlier
158,RTD,4.00,Outlier
158,Thermo-Optical,420.79,Outlier
158,Thermo-Acoustic,225.00,Outlier
159,Thermocouple,25.60,Outlier
159,RTD,-50.00,Outlier
159,Thermo-Optical,564.99,Outlier
159,Thermo-Acoustic,25.00,Outlier
160,Thermocouple,25.66,Outlier
160,RTD,17.00,Outlier
160,Thermo-Optical,535.61,Outlier
160,Thermo-Acoustic,250.00,Outlier
161,Thermocouple,25.62,Outlier
161,RTD,34.00,Outlier
161,Thermo-Optical,444.93,Outlier
161,Thermo-Acoustic,200.00,Outlier
162,Thermocouple,25.54,Outlier
162,RTD,0.00,Outlier
162,Thermo-Optical,532.39,Outlier
162,Thermo-Acoustic,150.00,Outlier
163,Thermocouple,25.70,Outlier
163,RTD,8.00,Outlier
163,Thermo-Optical,455.66,Outlier
163,Thermo-Acoustic,150.00,Outlier
164,Thermocouple,25.61,Outlier
164,RTD,30.00,Outlier
164,Thermo-Optical,511.74,Outlier
164,Thermo-Acoustic,125.00,Outlier
165,Thermocouple,25.66,Outlier
165,RTD,-27.00,Outlier
165,Thermo-Optical,529.12,Outlier
165,Thermo-Acoustic,225.00,Outlier
166,Thermocouple,25.50,Outlier
166,RTD,-41.00,Outlier
166,Thermo-Optical,525.78,Outlier
166,Thermo-Acoustic,150.00,Outlier
167,Thermocouple,25.51,Outlier
167,RTD,-46.00,Outlier
167,Thermo-Optical,427.22,Outlier
167,Thermo-Acoustic,100.00,Outlier
168,Thermocouple,25.54,Outlier
168,RTD,-17.00,Outlier
168,Thermo-Optical,541.88,Outlier
168,Thermo-Acoustic,75.00,Outlier
169,Thermocouple,25.62,Outlier
169,RTD,-27.00,Outlier
169,Thermo-Optical,450.39,Outlier
169,Thermo-Acoustic,225.00,Outlier
170,Thermocouple,25.53,Outlier
170,RTD,40.00,Outlier
170,Thermo-Optical,522.37,Outlier
170,Thermo-Acoustic,225.00,Outlier
171,Thermocouple,25.60,Outlier
171,RTD,-34.00,Outlier
171,Thermo-Optical,547.93,Outlier
171,Thermo-Acoustic,125.00,Outlier
172,Thermocouple,25.57,Outlier
172,RTD,17.00,Outlier
172,Thermo-Optical,541.88,Outlier
172,Thermo-Acoustic,75.00,Outlier
173,Thermocouple,25.61,Outlier
173,RTD,19.00,Outlier
173,Thermo-Optical,374.14,Outlier
173,Thermo-Acoustic,125.00,Outlier
174,Thermocouple,25.53,Outlier
174,RTD,42.00,Outlier
174,Thermo-Optical,511.74,Outlier
174,Thermo-Acoustic,125.00,Outlier
175,Thermocouple,25.73,Outlier
175,RTD,-32.00,Outlier
175,Thermo-Optical,544.93,Outlier
175,Thermo-Acoustic,150.00,Outlier
176,Thermocouple,25.65,Outlier
176,RTD,34.00,Outlier
176,Thermo-Optical,562.25,Outlier
176,Thermo-Acoustic,250.00,Outlier
177,Thermocouple,25.70,Outlier
177,RTD,-41.00,Outlier
177,Thermo-Optical,570.34,Outlier
177,Thermo-Acoustic,75.00,Outlier
178,Thermocouple,25.59,Outlier
178,RTD,3.00,Outlier
178,Thermo-Optical,414.06,Outlier
178,Thermo-Acoustic,150.00,Valid
179,Thermocouple,25.59,Outlier
179,RTD,17.00,Outlier
179,Thermo-Optical,433.37,Outlier
179,Thermo-Acoustic,100.00,Outlier
180,Thermocouple,25.59,Outlier
180,RTD,18.00,Outlier
180,Thermo-Optical,583.11,Outlier
180,Thermo-Acoustic,25.00,Outlier
181,Thermocouple,25.71,Outlier
181,RTD,23.00,Outlier
181,Thermo-Optical,541.88,Outlier
181,Thermo-Acoustic,175.00,Outlier
182,Thermocouple,25.53,Outlier
182,RTD,-35.00,Outlier
182,Thermo-Optical,518.90,Outlier
182,Thermo-Acoustic,250.00,Outlier
183,Thermocouple,25.52,Outlier
183,RTD,6.00,Outlier
183,Thermo-Optical,508.05,Outlier
183,Thermo-Acoustic,75.00,Outlier
184,Thermocouple,25.52,Outlier
184,RTD,39.00,Outlier
184,Thermo-Optical,583.11,Outlier
